f_cameraSpotX,f_cameraSpotY,sz_zSpots
-1742.287476,784.993713,-44.040863+0
-1742.287476,765.717102,-43.902523+0
-1742.287476,746.440491,-43.764179+0
-1742.287476,727.163879,-43.625839+0
-1742.287476,206.695770,-56.689396+0
-1742.287476,187.419189,-56.981915+0
-1742.287476,168.142578,-57.274437+0
-1742.287476,148.865967,-57.541634+0
-1742.287476,129.589386,-56.526684+0
-1742.287476,110.312782,-55.511738+0
-1742.287476,91.036186,-55.685856+0
-1742.287476,71.759590,-57.227982+0
-1742.287476,52.482986,-58.770111+0
-1742.287476,33.206390,-58.968750+0
-1742.287476,13.929794,-58.968750+0
-1742.287476,-5.346806,-58.968750+0
-1742.287476,-24.623404,-58.968750+0
-1742.287476,-43.900002,-58.968750+0
-1742.287476,-63.176598,-58.968750+0
-1722.545776,823.546875,-44.593510+0
-1722.545776,804.270264,-44.977459+0
-1722.545776,784.993713,-44.891960+0
-1722.545776,765.717102,-44.753620+0
-1722.545776,746.440491,-44.615276+0
-1722.545776,727.163879,-44.476936+0
-1722.545776,707.887268,-45.360329+0
-1722.545776,688.610718,-46.283829+0
-1722.545776,669.334106,-47.207329+0
-1722.545776,650.057495,-48.130825+0
-1722.545776,630.780884,-49.054325+0
-1722.545776,611.504333,-49.977825+0
-1722.545776,592.227722,-50.901321+0
-1722.545776,572.951111,-51.824821+0
-1722.545776,553.674500,-52.748322+0
-1722.545776,534.397888,-53.671822+0
-1722.545776,515.121338,-54.595322+0
-1722.545776,495.844757,-55.518818+0
-1722.545776,476.568146,-56.442318+0
-1722.545776,399.461761,-57.465553+0
-1722.545776,380.185150,-57.554859+0
-1722.545776,360.908569,-57.644165+0
-1722.545776,341.631958,-57.733471+0
-1722.545776,322.355377,-57.822777+0
-1722.545776,303.078766,-57.912086+0
-1722.545776,283.802185,-58.001392+0
-1722.545776,264.525574,-58.090698+0
-1722.545776,245.248962,-58.180004+0
-1722.545776,225.972382,-58.269310+0
-1722.545776,206.695770,-58.358616+0
-1722.545776,187.419189,-58.447922+0
-1722.545776,168.142578,-58.537231+0
-1722.545776,148.865967,-58.626537+0
-1722.545776,129.589386,-58.715843+0
-1722.545776,110.312782,-58.805149+0
-1722.545776,91.036186,-58.894455+0
-1722.545776,71.759590,-58.968750+0
-1722.545776,52.482986,-58.968750+0
-1722.545776,33.206390,-58.968750+0
-1722.545776,13.929794,-58.968750+0
-1722.545776,-5.346806,-58.968750+0
-1722.545776,-24.623404,-58.968750+0
-1722.545776,-43.900002,-58.968750+0
-1722.545776,-63.176598,-58.968750+0
-1702.803955,823.546875,-45.112251+0
-1702.803955,804.270264,-45.496201+0
-1702.803955,784.993713,-45.743065+0
-1702.803955,765.717102,-45.604725+0
-1702.803955,746.440491,-45.466381+0
-1702.803955,727.163879,-45.328041+0
-1702.803955,707.887268,-46.142181+0
-1702.803955,688.610718,-47.065681+0
-1702.803955,669.334106,-47.989182+0
-1702.803955,650.057495,-48.912678+0
-1702.803955,630.780884,-49.836178+0
-1702.803955,611.504333,-50.759678+0
-1702.803955,592.227722,-51.683174+0
-1702.803955,572.951111,-52.606674+0
-1702.803955,553.674500,-53.530174+0
-1702.803955,534.397888,-54.453674+0
-1702.803955,515.121338,-55.377174+0
-1702.803955,495.844757,-56.300671+0
-1702.803955,476.568146,-57.224171+0
-1702.803955,399.461761,-57.465553+0
-1702.803955,380.185150,-57.554859+0
-1702.803955,360.908569,-57.644165+0
-1702.803955,341.631958,-57.733471+0
-1702.803955,322.355377,-57.822777+0
-1702.803955,303.078766,-57.912086+0
-1702.803955,283.802185,-58.001392+0
-1702.803955,264.525574,-58.090698+0
-1702.803955,245.248962,-58.180004+0
-1702.803955,225.972382,-58.269310+0
-1702.803955,206.695770,-58.358616+0
-1702.803955,187.419189,-58.447922+0
-1702.803955,168.142578,-58.537231+0
-1702.803955,148.865967,-58.626537+0
-1702.803955,129.589386,-58.715843+0
-1702.803955,110.312782,-58.805149+0
-1702.803955,91.036186,-58.894455+0
-1702.803955,71.759590,-58.968750+0
-1702.803955,52.482986,-58.968750+0
-1702.803955,33.206390,-58.968750+0
-1702.803955,13.929794,-58.968750+0
-1702.803955,-5.346806,-58.968750+0
-1702.803955,-24.623404,-58.968750+0
-1702.803955,-43.900002,-58.968750+0
-1702.803955,-63.176598,-58.968750+0
-1683.062256,823.546875,-45.630989+0
-1683.062256,804.270264,-46.014938+0
-1683.062256,784.993713,-46.873764+0
-1683.062256,765.717102,-46.806667+0
-1683.062256,746.440491,-46.739571+0
-1683.062256,727.163879,-46.672474+0
-1683.062256,707.887268,-46.605381+0
-1683.062256,688.610718,-46.538284+0
-1683.062256,669.334106,-46.399902+0
-1683.062256,650.057495,-49.894356+0
-1683.062256,630.780884,-53.388809+0
-1683.062256,611.504333,-56.883251+0
-1683.062256,592.227722,-50.724300+0
-1683.062256,572.951111,-51.385956+0
-1683.062256,553.674500,-52.047607+0
-1683.062256,534.397888,-52.709263+0
-1683.062256,515.121338,-53.370914+0
-1683.062256,495.844757,-54.032570+0
-1683.062256,476.568146,-54.694225+0
-1683.062256,457.291565,-55.355877+0
-1683.062256,438.014954,-56.017532+0
-1683.062256,418.738373,-56.679184+0
-1683.062256,399.461761,-57.465553+0
-1683.062256,380.185150,-57.554859+0
-1683.062256,360.908569,-57.644165+0
-1683.062256,341.631958,-57.733471+0
-1683.062256,322.355377,-57.822777+0
-1683.062256,303.078766,-57.912086+0
-1683.062256,283.802185,-58.001392+0
-1683.062256,264.525574,-58.090698+0
-1683.062256,245.248962,-58.180004+0
-1683.062256,225.972382,-58.269310+0
-1683.062256,206.695770,-58.358616+0
-1683.062256,187.419189,-58.447922+0
-1683.062256,168.142578,-58.537231+0
-1683.062256,148.865967,-58.626537+0
-1683.062256,129.589386,-58.715843+0
-1683.062256,110.312782,-58.805149+0
-1683.062256,91.036186,-58.894455+0
-1683.062256,71.759590,-58.968750+0
-1683.062256,52.482986,-58.968750+0
-1683.062256,33.206390,-58.968750+0
-1683.062256,13.929794,-58.968750+0
-1683.062256,-5.346806,-58.968750+0
-1683.062256,-24.623404,-58.968750+0
-1683.062256,-43.900002,-58.968750+0
-1683.062256,-63.176598,-58.968750+0
-1663.320557,823.546875,-46.149731+0
-1663.320557,804.270264,-46.533680+0
-1663.320557,784.993713,-46.785954+0
-1663.320557,765.717102,-46.718857+0
-1663.320557,746.440491,-46.651760+0
-1663.320557,727.163879,-46.584663+0
-1663.320557,707.887268,-46.517570+0
-1663.320557,688.610718,-46.450474+0
